"As:1,As:2,As:3,As:4,As:5,As:6,Qz:1,Qz:2,Qz:3,Qz:4,Qz:5,Qz:6,Qz:7,Qz:8,S-I:1,S-I,S-II:1,S-II,Final:1,Final,sheet,Proj:1,Proj,S-I:2,S-I:3,S-II:2,S-II:3,Final:2,Final:3,Final:4,Final:5,assign_sum,quiz_sum"
"3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,15.0,15.0,15.0,15.0,45.0,45.0,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,18.0,16.0"
"130.0,70.0,90.0,50.0,120.0,90.0,5.0,15.0,10.0,10.0,10.0,5.0,12.0,2.0,40.0,6.9103076923076925,40.0,6.097392996108949,100.0,19.87473076923077,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,550.0,69.0"
"57.40562015503876,60.609266409266404,70.01046511627908,41.48149606299212,64.50335570469798,64.2542372881356,4.039692307692308,4.082,4.669808429118774,4.219453124999999,4.071854838709677,4.303037974683544,5.983970588235294,2.0,16.178571428571427,6.9103076923076925,14.184886363636366,6.097392996108949,36.43714285714285,19.87473076923077,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,0.0,0.0"
"80.5,60.5,73.5,40.5,59.0,70.5,3.5,5.0,2.0,8.0,4.071854838709677,2.5,9.0,2.0,17.5,6.56,6.25,2.34,35.75,16.08,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,384.5,32.0"
"72.5,68.0,39.0,35.0,80.5,71.0,2.5,7.0,0.0,10.0,7.0,5.0,10.0,2.0,12.5,4.68,11.0,4.12,53.5,24.07,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,366.0,43.5"
"113.0,62.0,0.0,47.0,80.0,80.0,3.5,2.5,1.0,1.0,2.0,1.0,12.0,2.0,9.5,3.56,6.5,2.43,32.5,14.62,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,382.0,25.0"
"61.0,43.5,0.0,22.0,64.50335570469798,50.0,1.5,5.0,0.5,0.0,0.0,1.0,3.0,2.0,18.5,6.93,9.0,3.37,28.0,12.6,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,176.5,11.0"
"104.0,67.0,72.5,45.0,120.0,90.0,5.0,10.5,10.0,10.0,6.5,5.0,9.0,2.0,28.5,10.68,17.5,6.56,74.75,33.63,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,498.5,58.0"
"0.0,52.0,61.0,20.5,55.0,58.0,4.5,5.5,1.5,0.0,8.0,4.0,3.0,2.0,10.5,3.93,4.0,1.5,39.5,17.77,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,246.5,28.5"
"118.0,62.0,85.5,39.5,109.0,90.0,5.0,8.5,9.5,10.0,7.0,4.5,10.0,2.0,22.75,8.53,13.75,5.15,70.5,31.72,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,504.0,56.5"
"0.0,47.0,44.0,23.0,51.0,64.2542372881356,2.0,6.0,0.5,0.0,1.0,4.303037974683544,3.0,2.0,6.5,2.43,5.0,1.87,13.25,5.96,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,165.0,12.5"
"105.0,65.0,67.5,47.0,93.0,87.0,3.5,8.5,0.0,1.0,1.0,2.0,9.0,2.0,14.0,5.25,24.26,9.09,58.25,26.21,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,464.5,27.0"
"113.0,59.0,51.5,33.0,66.0,49.0,4.5,2.0,0.5,0.0,0.0,1.5,2.0,2.0,9.0,3.37,4.75,1.78,27.75,12.48,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,371.5,12.5"
"0.0,65.5,60.5,28.0,62.0,73.0,2.5,6.5,9.0,10.0,10.0,3.5,8.0,2.0,14.75,5.53,17.5,6.56,60.5,27.22,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,289.0,51.5"
"105.0,60.0,39.5,50.0,80.0,89.0,0.0,2.0,5.5,1.0,1.0,1.5,7.0,2.0,15.5,5.81,6.25,2.34,40.0,18.0,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,423.5,20.0"
"92.0,51.0,0.0,35.0,85.0,72.0,2.5,5.5,1.5,1.0,1.0,2.0,1.0,2.0,18.5,6.93,16.25,6.09,47.5,21.37,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,335.0,16.5"
"122.0,54.5,79.0,35.0,90.0,64.2542372881356,3.5,5.5,0.0,1.0,1.0,4.5,4.0,2.0,14.0,5.25,5.75,2.15,45.75,20.58,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,380.5,21.5"
"109.0,0.0,75.5,33.0,100.0,88.0,3.0,4.5,6.0,0.0,1.0,3.5,2.0,2.0,15.0,5.62,5.0,1.87,47.25,21.26,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,405.5,22.0"
"0.0,62.0,79.0,50.0,88.0,90.0,4.0,7.0,0.0,10.0,3.0,4.0,4.0,2.0,15.5,5.81,14.0,5.25,61.25,27.56,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,369.0,34.0"
"0.0,63.5,85.0,50.0,96.0,33.0,5.0,4.0,4.0,10.0,3.0,4.0,4.0,2.0,21.5,8.06,29.5,11.06,49.25,22.16,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,327.5,36.0"
"104.0,0.0,0.0,49.5,94.0,80.0,4.5,3.0,9.5,1.0,0.0,5.0,6.0,2.0,19.0,7.12,18.5,6.93,65.25,29.36,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,327.5,31.0"
"103.0,0.0,80.0,50.0,110.0,90.0,4.0,9.0,10.0,10.0,2.0,5.0,5.983970588235294,2.0,29.5,11.06,19.25,7.21,63.75,28.68,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,433.0,42.0"
"73.5,53.5,65.0,37.0,90.0,53.0,1.5,2.0,0.5,0.0,1.0,3.5,2.0,2.0,14.5,5.43,11.0,4.12,44.5,20.02,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,372.0,12.5"
"108.0,44.5,50.0,43.5,80.0,54.0,5.0,4.082,4.0,1.0,1.5,4.0,9.0,2.0,21.5,8.06,17.0,6.37,45.5,20.47,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,380.0,26.5"
"107.0,56.0,82.5,47.0,40.0,65.0,5.0,9.0,9.5,10.0,10.0,4.5,10.0,2.0,29.25,10.96,21.75,8.15,64.0,28.8,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,397.5,60.0"
"119.0,42.0,72.0,46.0,108.0,80.0,4.5,8.0,1.5,0.5,3.0,3.5,8.0,2.0,19.0,7.12,18.5,6.93,66.5,29.92,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,467.0,31.0"
"75.0,0.0,0.0,15.0,87.0,64.2542372881356,2.5,6.0,1.0,0.0,2.0,4.303037974683544,5.983970588235294,2.0,12.5,4.68,2.0,0.75,14.0,6.3,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,177.0,11.5"
"103.0,52.0,60.0,21.0,65.5,79.0,4.5,9.0,1.0,0.0,3.0,3.5,9.0,2.0,19.5,7.31,14.75,5.53,58.75,26.43,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,380.5,32.0"
"56.5,0.0,61.0,25.5,59.0,71.0,3.5,3.0,2.0,0.0,2.0,3.5,4.0,2.0,12.0,4.5,13.25,4.96,35.75,16.08,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,273.0,20.0"
"110.0,53.5,70.5,30.0,61.0,73.0,3.5,8.5,1.0,10.0,5.0,2.5,5.0,2.0,13.5,5.06,6.5,2.43,43.5,19.57,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,398.0,37.5"
"89.0,40.0,32.5,33.5,54.0,49.0,3.0,3.5,0.0,0.0,3.0,2.0,3.0,2.0,11.5,4.31,4.25,1.59,43.5,19.57,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,298.0,16.5"
"92.0,70.0,82.0,42.5,64.50335570469798,84.5,4.0,7.0,3.0,0.0,8.0,4.0,3.0,2.0,11.75,4.4,11.5,4.31,40.0,18.0,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,371.0,31.0"
"101.0,49.5,0.0,47.5,88.0,46.0,3.0,8.5,0.5,0.0,1.0,2.0,2.0,2.0,17.5,6.56,7.75,2.9,24.25,10.91,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,332.0,19.0"
"62.0,0.0,57.0,30.0,87.0,67.0,0.0,10.0,0.0,1.0,3.0,0.0,6.0,2.0,9.0,3.37,4.25,1.59,27.75,12.48,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,303.0,22.0"
"84.0,51.0,44.5,28.0,80.0,48.0,2.0,7.0,1.0,0.0,9.0,3.0,7.0,2.0,14.0,5.25,4.0,1.5,36.25,16.31,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,335.5,31.0"
"125.0,60.0,84.0,40.5,110.0,86.0,4.5,6.0,0.0,0.0,3.0,2.5,2.0,2.0,21.5,8.06,11.5,4.31,50.75,22.83,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,505.5,20.0"
"97.0,0.0,50.0,41.0,72.0,64.2542372881356,0.0,4.5,0.0,0.0,3.0,4.303037974683544,5.983970588235294,2.0,11.75,4.4,3.75,1.4,14.5,6.52,1,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,260.0,9.5"
"3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,15.0,15.0,15.0,15.0,45.0,45.0,2,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,18.0,16.0"
"130.0,70.0,100.0,50.0,120.0,80.0,5.0,15.0,10.0,10.0,10.0,5.0,12.0,2.0,40.0,6.9103076923076925,40.0,6.097392996108949,100.0,19.87473076923077,2,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,550.0,69.0"
"57.40562015503876,60.609266409266404,70.01046511627908,41.48149606299212,64.50335570469798,64.2542372881356,4.039692307692308,4.082,4.669808429118774,4.219453124999999,4.071854838709677,4.303037974683544,5.983970588235294,2.0,16.178571428571427,6.9103076923076925,14.184886363636366,6.097392996108949,36.43714285714285,19.87473076923077,2,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,0.0,0.0"
"109.0,57.0,79.0,47.0,115.0,68.0,2.0,5.0,1.0,10.0,2.0,0.0,7.0,2.0,28.5,10.68,23.0,8.62,59.25,26.66,2,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,475.0,29.0"
"100.0,57.0,81.0,42.0,117.0,71.0,5.0,6.0,10.0,10.0,2.0,5.0,12.0,2.0,22.0,8.25,28.0,10.5,70.75,31.83,2,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,468.0,52.0"
"71.0,68.0,92.0,47.0,87.0,55.0,3.0,4.0,1.0,2.0,0.0,0.0,7.0,2.0,15.0,5.62,12.5,4.68,50.75,22.83,2,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,420.0,19.0"
"95.0,0.0,67.4,33.0,78.0,42.0,2.0,4.0,0.0,1.0,0.0,1.5,8.0,2.0,12.5,4.68,5.75,2.15,34.75,15.63,2,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,315.4,18.5"
"0.0,60.0,98.0,46.0,114.0,73.0,2.0,8.0,2.0,10.0,10.0,2.0,5.0,2.0,14.0,5.25,24.0,9.0,55.75,25.08,2,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,391.0,41.0"
"60.0,0.0,38.0,24.0,50.0,48.0,1.0,7.0,1.0,2.0,0.0,1.5,6.0,2.0,14.0,5.25,10.0,3.75,36.25,16.31,2,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,220.0,20.5"
"90.0,54.0,30.3,20.0,62.0,24.0,4.0,5.0,4.669808429118774,2.0,2.0,1.0,6.0,2.0,12.0,4.5,6.5,2.43,36.75,16.53,2,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,280.3,22.0"
"0.0,0.0,46.0,17.0,106.0,64.0,2.0,4.082,0.0,5.0,4.071854838709677,1.5,9.0,2.0,9.0,3.37,11.5,4.31,37.25,16.76,2,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,233.0,19.5"
"0.0,70.0,71.0,24.0,75.0,70.0,2.0,4.082,1.0,2.0,7.0,4.303037974683544,6.0,2.0,10.0,3.75,15.0,5.62,48.0,21.6,2,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,310.0,20.0"
"82.0,60.0,52.0,38.0,22.0,64.2542372881356,3.5,8.0,2.0,10.0,2.0,5.0,5.983970588235294,2.0,22.25,8.34,19.5,7.31,44.0,19.8,2,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,254.0,32.5"
"97.0,0.0,98.0,48.0,116.0,77.0,5.0,6.0,2.0,10.0,2.0,4.303037974683544,10.0,2.0,32.0,12.0,24.5,9.18,57.25,25.76,2,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,436.0,37.0"
"127.0,68.0,98.0,47.0,118.0,76.0,5.0,10.0,4.0,10.0,4.0,5.0,12.0,2.0,35.25,13.21,32.0,12.0,76.25,34.31,2,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,534.0,52.0"
"76.0,30.0,61.1,45.0,97.0,68.0,1.5,5.0,2.0,2.0,3.0,1.5,12.0,2.0,12.75,4.78,11.0,4.12,51.0,22.95,2,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,377.1,29.0"
"124.0,57.0,74.0,25.0,59.0,37.0,2.0,5.0,0.0,8.0,2.0,1.5,8.0,2.0,19.0,7.12,19.5,7.31,37.75,16.98,2,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,376.0,28.5"
"83.0,55.0,33.1,37.0,69.0,55.0,2.5,7.0,0.0,2.0,4.071854838709677,1.5,5.0,2.0,11.75,4.4,6.0,2.25,26.5,11.92,2,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,332.1,20.0"
"117.0,64.0,98.0,45.0,99.0,77.0,1.0,5.0,0.0,7.0,5.0,1.0,6.0,2.0,14.75,5.53,11.5,4.31,39.0,17.55,2,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,500.0,27.0"
"124.0,68.0,99.0,48.0,117.0,73.0,4.0,8.0,1.0,10.0,10.0,0.0,12.0,2.0,22.75,8.53,23.5,8.81,66.75,30.03,2,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,529.0,47.0"
"105.0,60.0,79.0,44.0,109.0,68.0,4.0,5.0,0.0,2.0,2.0,1.5,7.0,2.0,20.0,7.5,10.5,3.93,40.25,18.11,2,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,465.0,23.5"
"0.0,52.0,82.0,33.0,86.0,64.2542372881356,3.5,4.082,0.0,1.0,2.0,1.5,12.0,2.0,12.5,4.68,8.0,3.0,34.0,15.3,2,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,253.0,22.0"
"57.40562015503876,68.0,70.01046511627908,41.0,88.0,75.0,1.0,5.0,1.0,0.0,0.0,0.0,11.0,2.0,8.5,3.18,14.184886363636366,6.097392996108949,7.0,3.15,2,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,272.0,20.0"
"0.0,67.0,54.0,34.0,105.0,51.0,2.0,4.0,2.0,0.0,7.0,0.0,5.983970588235294,2.0,22.5,8.43,11.5,4.31,51.25,23.06,2,63.325,1.9968421052631578,1.919811320754717,12.88679245283019,3.548867924528302,11.687735849056605,11.464150943396227,9.1311320754717,4.227830188679245,6.299056603773585,311.0,17.0"
